cntry_cd,Date,min_temp_cls,Temperature,max_temp_cls,Event,EventNum,Customers
JP,2021-01-04,-1.65,2.7,7.4799999999999995,年始,1,202
JP,2021-01-05,-1.1700000000000002,3.1,6.790000000000001,,0,448
JP,2021-01-06,-1.0899999999999999,2.0,5.26,,0,370
JP,2021-01-07,-3.3899999999999997,1.0,5.7,,0,206
JP,2021-01-08,-4.65,-1.5,1.6800000000000002,,0,171
JP,2021-01-09,-5.41,-1.5,2.77,,0,288
JP,2021-01-10,-5.29,-0.9,3.85,,0,120
JP,2021-01-11,-4.04,0.2,4.35,成人の日,1,202
JP,2021-01-12,-1.8,1.7,4.67,,0,221
JP,2021-01-13,-1.1300000000000001,4.2,9.01,,0,314
JP,2021-01-14,-0.35,4.7,11.35,,0,430
JP,2021-01-15,-0.05,5.4,9.73,,0,187
JP,2021-01-16,1.6700000000000004,6.5,12.690000000000001,,0,472
JP,2021-01-17,-0.9099999999999999,2.3,5.470000000000001,,0,199
JP,2021-01-18,-2.6,1.9,5.84,,0,459
JP,2021-01-19,-1.97,1.6,4.96,,0,251
JP,2021-01-20,-3.2199999999999998,1.5,6.529999999999999,,0,230
JP,2021-01-21,-1.9300000000000002,4.2,10.92,,0,249
JP,2021-01-22,2.77,7.1,11.36,,0,408
JP,2021-01-23,2.8,5.6,7.8,,0,357
JP,2021-01-24,1.4399999999999997,4.2,7.4799999999999995,,0,443
JP,2021-01-25,0.8300000000000001,5.6,11.57,,0,393
JP,2021-01-26,1.13,6.8,10.73,,0,485
JP,2021-01-27,3.81,7.6,12.7,,0,291
JP,2021-01-28,0.9400000000000001,4.0,8.08,,0,376
JP,2021-01-29,-0.9,2.3,6.01,,0,260
JP,2021-01-30,-2.2199999999999998,2.2,6.540000000000001,,0,413
JP,2021-01-31,-1.4900000000000002,4.0,8.709999999999999,,0,121
JP,2021-02-01,-0.7500000000000001,6.5,11.27,,0,352
JP,2021-02-02,0.51,5.8,12.15,,0,335
JP,2021-02-03,-1.7,1.5,5.1899999999999995,,0,444
JP,2021-02-04,-2.5300000000000002,2.5,7.65,,0,148
JP,2021-02-05,-2.0300000000000002,4.0,8.52,,0,158
JP,2021-02-06,2.07,8.1,12.42,,0,269
JP,2021-02-07,1.25,6.4,11.95,,0,287
JP,2021-02-08,-1.17,3.2,7.2700000000000005,,0,370
JP,2021-02-09,-2.1399999999999997,2.3,6.35,,0,289
JP,2021-02-10,-1.08,4.4,9.379999999999999,,0,274
JP,2021-02-11,0.7499999999999998,6.8,10.77,建国記念の日,1,150
JP,2021-02-12,2.0100000000000002,7.5,11.47,,0,463
JP,2021-02-13,3.18,10.1,14.52,,0,154
JP,2021-02-14,5.0,11.1,16.080000000000002,,0,343
JP,2021-02-15,6.2,11.8,13.309999999999999,,0,419
JP,2021-02-16,2.59,5.7,10.22,,0,230
